locus,gene,protein ID,gene length,mass fractions
b0229,lfhA,Q47153,1713,0
b4358,lgoD,P39400,1023,0
b4357,lgoR,P39399,915,0
b4356,lgoT,P39398,1362,0
b2828,lgt,P60955,876,0
b2660,lhgO,P37339,1269,8.10E-06
b1653,lhr,P30015,4617,0
b2411,ligA,P15042,2016,0.000144559
b3647,ligB,P25772,1683,0
b0628,lipA,P60716,966,0.000300133
b0630,lipB,P60720,642,4.94E-05
b1139,lit,P11072,894,0
b3454,livF,P22731,714,0.000232599
b3455,livG,P0A9S7,768,0.000182687
b3457,livH,P0AEX7,927,0.000151279
b3460,livJ,P0AD96,1104,0.004449445
b3458,livK,P04816,1110,0.001274995
b3456,livM,P22729,1278,0.000181949
b3605,lldD,P33232,1191,7.81E-05
b3603,lldP,P33231,1656,0
b3604,lldR,P0ACL7,777,0
b0657,lnt,P23930,1539,5.69E-05
b2936,loiP,P25894,759,6.68E-05
b0891,lolA,P61316,615,9.43E-05
b1209,lolB,P61320,624,9.98E-05
b1116,lolC,P0ADC3,1200,4.71E-05
b1117,lolD,P75957,702,7.08E-05
b1118,lolE,P75958,1245,4.20E-05
b1369,lomR_1,P77184,156,0
b1371,lomR_2,,171,0
b0439,lon,P0A9M0,2355,0.001152549
b0222,lpcA,P63224,579,0.000232292
b0116,lpd,P0A9P0,1425,0.005259295
b4386,lplA,P32099,1017,5.13E-05
b2835,lplT,P39196,1194,0
b3147,lpoA,P45464,2037,0.000156656
b1105,lpoB,P0AB38,642,0.00013741
b1677,lpp,P69776,237,0.02494352
b3200,lptA,P0ADV1,558,0.000110513
b3201,lptB,P0A9V1,726,0.000129121
b3199,lptC,P0ADV9,576,3.41E-05
b0054,lptD,P31554,2355,0.000646192
b0641,lptE,P0ADC1,582,9.89E-05
b4261,lptF,P0AF98,1101,5.23E-05
b4262,lptG,P0ADC6,1083,4.86E-05
b0181,lpxA,P0A722,789,0.000213188
b0182,lpxB,P10441,1149,4.01E-05
b0096,lpxC,P0A725,918,0.000496821
b0179,lpxD,P21645,1026,0.000249808
b0524,lpxH,P43341,723,0
b0915,lpxK,P27300,987,2.49E-05
b1054,lpxL,P0ACV0,921,7.25E-05
b1855,lpxM,P24205,972,7.31E-05
b2378,lpxP,P0ACV2,921,0
b2174,lpxT,P76445,714,2.52E-05
b2289,lrhA,P36771,939,6.70E-05
b0889,lrp,P0ACJ0,495,0.000873071
b0027,lspA,P00804,495,0
b1513,lsrA,P77257,1536,0
b1516,lsrB,P76142,1023,4.50E-06
b1514,lsrC,P77672,1029,0
b1515,lsrD,P0AFS1,993,0
b1517,lsrF,P76143,876,0
b1518,lsrG,P64461,291,0
b1511,lsrK,P77432,1593,0
b1512,lsrR,P76141,954,0
b0870,ltaE,P75823,1002,0.000151336
b2687,luxS,P45578,516,0.000833559
b2838,lysA,P00861,1263,0.000276006
b4024,lysC,P08660,1350,0.001331826
b0874,lysO,P75826,900,0
b2156,lysP,P25737,1470,0.000544681
b2839,lysR,P03030,936,0
b2890,lysS,P0A8N3,1518,0.001038459
b4129,lysU,P0A8N5,1518,0.000113428
b3580,lyxK,P37677,1497,0
b0459,maa,P77791,552,2.88E-05
b0878,macA,P75830,1116,2.94E-05
b0879,macB,P75831,1947,0
b1479,maeA,P26616,1698,0.000392582
b2463,maeB,P76558,2280,0.000741854
b0394,mak,P23917,909,4.63E-05
b4034,malE,P0AEX9,1191,3.32E-05
b4033,malF,P02916,1545,0
b4032,malG,P68183,891,0
b1620,malI,P18811,1029,0
b4035,malK,P68187,1116,0
b4037,malM,P03841,921,8.91E-06
b3417,malP,P00490,2394,7.21E-05
b3416,malQ,P15977,2085,3.51E-05
b3571,malS,P25718,2031,1.54E-05
b3418,malT,P06993,2706,0.000263455
b1621,malX,P19642,1593,0
b1622,malY,P23256,1173,4.14E-05
b0403,malZ,P21517,1815,3.37E-05
b1613,manA,P00946,1176,0.000171037
b1817,manX,P69797,972,0.000460533
b1818,manY,P69801,801,0
b1819,manZ,P69805,852,0.000516143
b0168,map,P0AE18,795,0.000367082
b1531,marA,P0ACH5,384,0
b1532,marB,P31121,219,0
b1529,marC,P0AEY1,666,0
b1530,marR,P27245,435,0
b0956,matP,P0A8N0,453,0
b2783,mazE,P0AE72,249,0
b2782,mazF,P0AE70,336,1.33E-05
b2781,mazG,P0AEY3,792,3.54E-05
b0806,mcbA,P0AAX6,261,0
b1450,mcbR,P76114,666,0
b1159,mcrA,P24200,834,0
b4346,mcrB,P15005,1380,5.32E-05
b4345,mcrC,P15006,1047,0
b3028,mdaB,P0AEY5,582,8.07E-05
b0842,mdfA,P0AEY8,1233,0
b3236,mdh,P61889,939,0.004489969
b0448,mdlA,P77265,1773,3.77E-05
b0449,mdlB,P0AAG5,1782,0
b2074,mdtA,P76397,1248,7.20E-06
b2075,mdtB,P76398,3123,0
b2076,mdtC,P76399,3078,0
b2077,mdtD,P36554,1416,0
b3513,mdtE,P37636,1158,0
b3514,mdtF,P37637,3114,0
b1053,mdtG,P25744,1227,0
b1065,mdtH,P69367,1209,0
b1599,mdtI,P69210,330,0
b1600,mdtJ,P69212,366,0
b1663,mdtK,P37340,1374,3.24E-05
b3710,mdtL,P31462,1176,0
b4337,mdtM,P39386,1233,0
b4082,mdtN,P32716,1032,0
b4081,mdtO,P32715,2052,0
b4080,mdtP,P32714,1467,0
b2138,mdtQ,P33369,1089,0
b4119,melA,P06720,1356,0
b4120,melB,P02921,1422,0
b4118,melR,P0ACH8,909,0
b3930,menA,P32166,927,0
b2262,menB,P0ABU0,858,0.000205909
b2261,menC,P29208,963,3.17E-05
b2264,menD,P17109,1671,8.64E-05
b2260,menE,P37353,1356,0
b2265,menF,P38051,1296,2.26E-05
b2263,menH,P37355,759,0
b1686,menI,P77781,411,0.000111322
b2328,mepA,P0C0T5,825,0.000117884
b1655,mepH,P76190,816,1.41E-06
b1856,mepM,P0AFS9,1323,0
b2175,mepS,P0AFV4,567,0.000303724
b4013,metA,P07623,930,0.000521858
b3939,metB,P00935,1161,0.000235171
b3008,metC,P06721,1188,0.000349852
b3829,metE,P25665,2262,0.04387183
b3941,metF,P0AEZ1,891,0.001129858
b2114,metG,P00959,2034,0.001008403
b4019,metH,P13009,3684,0.001028004
b0198,metI,P31547,654,0.000122963
b3938,metJ,P0A8U6,318,0.000150129
b2942,metK,P0A817,1155,0.002616415
b3940,metL,P00562,2433,0.000460248
b0199,metN,P30750,1032,0.000452934
b0197,metQ,P28635,816,0.002772847
b3828,metR,P0A9F9,954,0.000135403
b1114,mfd,P30958,3447,0.000312793
b2149,mglA,P0AAG8,1521,5.82E-05
b2150,mglB,P0AEE5,999,0.000232028
b2148,mglC,P23200,1011,2.73E-05
b1826,mgrB,P64512,144,0
b0963,mgsA,P0A731,459,0.000161564
b4242,mgtA,P0ABB8,2697,4.56E-05
b4702,mgtL,E2JKY7,54,0
b0347,mhpA,P77397,1665,0
b0348,mhpB,P0ABR9,945,0
b0349,mhpC,P77044,867,0
b0350,mhpD,P77608,810,0
b0352,mhpE,P51020,1014,0
b0351,mhpF,P77580,951,0
b0346,mhpR,P77569,834,7.05E-05
b0353,mhpT,P77589,1212,0
b4171,miaA,P16384,951,3.52E-05
b0661,miaB,P0AEI1,1425,0.000596512
b1176,minC,P18196,696,6.50E-05
b1175,minD,P0AEZ3,813,0.000556457
b1174,minE,P0A734,267,0.000161395
b3742,mioC,P03817,444,0.000103654
b1782,mipA,P0A908,747,0.00126158
b2346,mlaA,P76506,756,0.000147984
b3191,mlaB,P64602,294,2.76E-05
b3192,mlaC,P0ADV7,636,0.000278851
b3193,mlaD,P64604,552,7.42E-05
b3194,mlaE,P64606,783,3.39E-05
b3195,mlaF,P63386,810,6.62E-05
b1594,mlc,P50456,1221,0.00010152
b1639,mliC,P28224,330,0
b2127,mlrA,P33358,732,0
b2813,mltA,P0A935,1098,8.75E-05
b2701,mltB,P41052,1086,0
b2963,mltC,P0C066,1080,5.66E-05
b0211,mltD,P0AEZ7,1359,0
b2558,mltF,P0AGC5,1557,0
b1097,mltG,P28306,1023,1.90E-05
b0261,mmuM,Q47690,933,6.10E-05
b0260,mmuP,Q47689,1404,4.15E-05
b1448,mnaT,P76112,519,4.16E-05
b0731,mngA,P54745,1977,0
b0732,mngB,P54746,2634,0
b0730,mngR,P13669,723,0
b1133,mnmA,P25745,1107,0.000193899
b2324,mnmC,P77182,2007,0
b3706,mnmE,P25522,1365,6.60E-05
b3741,mnmG,P0A6U3,1890,0.000286009
b2392,mntH,P0A769,1239,0
b1821,mntP,P76264,567,0
b0817,mntR,P0A9F1,468,3.26E-05
b4705,mntS,P0DKB3,129,0
b0781,moaA,P30745,990,0
b0782,moaB,P0AEZ9,513,0.000140863
b0783,moaC,P0A738,486,6.69E-05
b0784,moaD,P30748,246,3.46E-05
b0785,moaE,P30749,453,5.50E-05
b3857,mobA,P32173,585,1.67E-05
b3856,mobB,P32125,528,0
b2877,mocA,Q46810,579,0
b0763,modA,P37329,774,0.000154995
b0764,modB,P0AF01,690,0
b0765,modC,P09833,1059,2.14E-05
b0761,modE,P0A9G8,789,4.83E-05
b0760,modF,P31060,1473,0.000156609
b0827,moeA,P12281,1236,0.000122862
b0826,moeB,P12282,750,2.77E-05
b0009,mog,P0AF03,588,5.79E-05
b1420,mokB,P76096,168,0
b0018,mokC,P33236,210,0
b2115,molR_1,,825,0
b2116,molR_2,,1938,0
b2117,molR_3,,948,0
b1890,motA,P09348,888,7.41E-05
b1889,motB,P0AF06,927,0.000146429
b1326,mpaA,P0ACV6,729,0
b4233,mpl,P37773,1374,0.000184251
b1329,mppA,P77348,1614,8.46E-05
b2684,mprA,P0ACR9,531,0.000390743
b2210,mqo,P33940,1647,0.000183803
b3021,mqsA,Q46864,396,0
b3022,mqsR,Q46865,297,0
b0087,mraY,P0A6W3,1083,0
b0081,mraZ,P22186,459,0
b3396,mrcA,P02918,2553,0.000102189
b0149,mrcB,P02919,2535,9.83E-05
b0635,mrdA,P0AD65,1902,3.90E-05
b0634,mrdB,P0ABG7,1113,2.63E-05
b3251,mreB,P0A9X4,1044,0.000526613
b3250,mreC,P16926,1104,5.26E-05
b3249,mreD,P0ABH4,489,0
b2113,mrp,P0AF08,1110,0.000434438
b4351,mrr,P24202,915,5.54E-05
b0914,msbA,P60752,1749,0.000138829
b0465,mscK,P77338,3363,9.71E-05
b3291,mscL,P0A742,411,0.00012935
b4159,mscM,P39285,3324,0
b2924,mscS,P0C0S1,861,0.000203222
b4219,msrA,P0A744,639,6.80E-05
b1778,msrB,P0A746,414,0.000286758
b1832,msrC,P76270,552,0.000148766
b1971,msrP,P76342,1005,0
b1972,msrQ,P76343,636,0
b1051,msyB,P25738,375,8.34E-05
b1976,mtfA,P76346,798,8.93E-05
b3208,mtgA,P46022,729,0
b3599,mtlA,P00550,1914,5.81E-05
b3600,mtlD,P09424,1149,6.91E-05
b3601,mtlR,P0AF10,588,1.72E-05
b0159,mtn,P0AF12,699,0.000336435
b3161,mtr,P0AAD2,1245,0
b3068,mug,P0A9H1,507,6.94E-05
b0924,mukB,P22523,4461,0.000449612
b0923,mukE,P22524,678,5.99E-05
b0922,mukF,P60293,1323,7.85E-05
b3189,murA,P0A749,1260,0.000444872
b3972,murB,P08373,1029,6.01E-05
b0091,murC,P17952,1476,0.000148868
b0088,murD,P14900,1317,0.000142504
b0085,murE,P22188,1488,0.000166962
b0086,murF,P11880,1359,0.000132513
b0090,murG,P17443,1068,5.52E-05
b3967,murI,P22634,858,4.61E-05
b1069,murJ,P0AF16,1536,3.63E-05
b2429,murP,P77272,1425,0
b2428,murQ,P76535,897,0
b2427,murR,P77245,858,0
b2831,mutH,P06722,690,0
b4170,mutL,P23367,1848,2.78E-05
b3635,mutM,P05523,810,0
b2733,mutS,P23909,2562,0.000160826
b0099,mutT,P08337,390,0
b2961,mutY,P17802,1053,4.44E-05
b3096,mzrA,P42615,384,0
b1988,nac,Q47005,918,0
b0750,nadA,P11458,1044,0.000269393
b2574,nadB,P10902,1623,0.000122671
b0109,nadC,P30011,894,9.81E-05
b0639,nadD,P0A752,642,3.35E-05
b1740,nadE,P18843,828,0.000323546
b2615,nadK,P0A7B3,879,0
b4390,nadR,P27278,1233,9.48E-05
b0677,nagA,P0AF18,1149,7.19E-05
b0678,nagB,P0A759,801,8.90E-05
b0676,nagC,P0AF20,1221,7.61E-05
b0679,nagE,P09323,1947,0.000131833
b1119,nagK,P75959,912,3.51E-05
b1107,nagZ,P75949,1026,8.38E-05
b3225,nanA,P0A6L4,894,1.56E-05
b4311,nanC,P69856,717,0
b3223,nanE,P0A761,690,9.49E-06
b3222,nanK,P45425,876,0
b4310,nanM,P39371,1107,0
b3226,nanR,P0A8W0,792,6.63E-05
b4309,nanS,P39370,981,0
b3224,nanT,P41036,1491,0
b2206,napA,P33937,2487,0.000238638
b2203,napB,P0ABL3,450,0
b2202,napC,P0ABL5,603,0
b2207,napD,P0A9I5,264,0
b2208,napF,P0AAL0,495,0
b2205,napG,P0AAL3,696,0
b2204,napH,P33934,864,0
b1224,narG,P09152,3744,1.20E-05
b1225,narH,P11349,1539,0
b1227,narI,P11350,678,0
b1226,narJ,P0AF26,711,0
b1223,narK,P10903,1392,0
b1221,narL,P0AF28,651,0.00016748
b2193,narP,P31802,648,8.18E-05
b2469,narQ,P27896,1701,0
b1469,narU,P37758,1389,0
b1465,narV,P0AF32,681,0
b1466,narW,P19317,696,0
b1222,narX,P0AFA2,1797,0.000121687
b1467,narY,P19318,1545,0
b1468,narZ,P19319,3741,0
b1109,ndh,P00393,1305,0.000247135
b2518,ndk,P0A763,432,0.001924337
b0714,nei,P50465,792,2.63E-05
b1650,nemA,P77258,1098,6.32E-05
b1649,nemR,P67430,600,0
b3662,nepI,P0ADL1,1191,0
b3998,nfi,P68739,672,2.50E-05
b2159,nfo,P0A6C1,858,0.000116871
b0568,nfrA,P31600,2973,1.29E-05
b0569,nfrB,P0AFA5,2238,0
b0851,nfsA,P17117,723,0.000113962
b0578,nfsB,P38489,654,0.000385396
b3414,nfuA,P63020,576,0.000742599
b0019,nhaA,P13738,1167,5.32E-05
b1186,nhaB,P0AFA7,1542,9.98E-05
b0020,nhaR,P0A9G2,906,3.50E-05
b1463,nhoA,P77567,846,0
b3476,nikA,P33590,1575,0
b3477,nikB,P33591,945,0
b3478,nikC,P0AFA9,834,0
b3479,nikD,P33593,765,0
b3480,nikE,P33594,807,0
b3481,nikR,P0A6Z6,402,7.35E-05
b1790,nimR,P76241,822,0
b1791,nimT,P76242,1182,0
b0548,ninE,Q47270,171,0
b3365,nirB,P08201,2544,0
b3367,nirC,P0AC26,807,0
b3366,nirD,P0A9I8,327,0
b3661,nlpA,P04846,819,0.000471843
b1708,nlpC,P23898,465,0
b2742,nlpD,P0ADA3,1140,0.000165247
b0192,nlpE,P40710,711,3.31E-05
b3163,nlpI,P0AFB1,885,4.10E-05
b0553,nmpC,P21420,1068,0.02341634
b1548,nohA,P31061,570,0
b0560,nohB,P31062,546,0
b2709,norR,P37013,1515,0
b2710,norV,Q46877,1440,0
b2711,norW,P37596,1134,0
b3206,npr,P0A9N0,273,0
b2234,nrdA,P00452,2286,0.000592976
b2235,nrdB,P69924,1131,0.000306163
b4238,nrdD,P28903,2139,7.73E-05
b2675,nrdE,P39452,2145,0
b2676,nrdF,P37146,960,0
b4237,nrdG,P0A9N8,465,0
b2673,nrdH,P0AC65,246,0
b2674,nrdI,P0A772,411,0
b0413,nrdR,P0A8D0,450,4.56E-05
b4070,nrfA,P0ABK9,1437,0
b4071,nrfB,P0ABL1,567,0
b4072,nrfC,P0AAK7,672,0
b4073,nrfD,P32709,957,0
b4074,nrfE,P32710,1659,0
b4075,nrfF,P32711,384,0
b4076,nrfG,P32712,597,0
b4178,nsrR,P0AF63,426,2.01E-05
b1633,nth,P0AB83,636,3.88E-05
b1865,nudB,P0AFC0,453,0
b3996,nudC,P32664,774,4.08E-05
b3397,nudE,P45799,561,8.10E-05
b3034,nudF,Q93K97,630,4.04E-05
b1759,nudG,P77788,408,0
b2251,nudI,P52006,426,0
b1134,nudJ,P0AEI6,462,1.35E-05
b2467,nudK,P37128,576,0
b1813,nudL,P43337,579,2.07E-05
b2288,nuoA,P0AFC3,444,0.000179982
b2287,nuoB,P0AFC7,663,0.000354077
b2286,nuoC,P33599,1791,0.000772885
b2285,nuoE,P0AFD1,501,0.000292781
b2284,nuoF,P31979,1338,0.000576364
b2283,nuoG,P33602,2727,0.001115508
b2282,nuoH,P0AFD4,978,0.000231486
b2281,nuoI,P0AFD6,543,0.000181049
b2280,nuoJ,P0AFE0,555,0.00011314
b2279,nuoK,P0AFE4,303,5.04E-05
b2278,nuoL,P33607,1842,0.000338778
b2277,nuoM,P0AFE8,1530,0.00034074
b2276,nuoN,P0AFF0,1458,0.000257295
b2393,nupC,P0AFF2,1203,0.00018721
b2964,nupG,P0AFF4,1257,0
b2161,nupX,P33021,1251,0
b3169,nusA,P0AFF6,1488,0.000974449
b0416,nusB,P0A780,420,0.000154882
b3982,nusG,P0AFG0,546,0.000534588
b3183,obgE,P42641,1173,0.000172077
b2082,ogrK,P37057,219,0
b1335,ogt,P0AFH0,516,0
b0957,ompA,P0A910,1041,0.01214425
b2215,ompC,P06996,1104,0.000711942
b0929,ompF,P02931,1089,0.00767235
b1319,ompG,P76045,906,0
b3875,ompL,P76773,693,0
b1377,ompN,P77747,1134,3.10E-08
b3405,ompR,P0AA16,720,0.000154284
b0565,ompT,P09169,954,0.004631305
b1256,ompW,P0A915,639,2.55E-05
b0814,ompX,P0A917,516,0.002006779
b4359,opgB,P39401,2292,7.20E-05
b1047,opgC,P75920,1158,0
b1424,opgD,P40120,1656,0.000159288
b0815,opgE,P75785,1584,0
b1048,opgG,P33136,1536,0.000441255
b1049,opgH,P62517,2544,0.000185801
b1243,oppA,P23843,1632,0.001401413
b1244,oppB,P0AFH2,921,6.47E-05
b1245,oppC,P0AFH6,909,5.91E-05
b1246,oppD,P76027,1014,0.000157709
b1247,oppF,P77737,1005,0.000110374
b4162,orn,P0A784,546,0.000104657
b1445,ortT,P64453,174,0
b1283,osmB,P0ADA7,219,0
b1482,osmC,P0C0L2,432,0.000111899
b1739,osmE,P0ADB1,339,0.000219504
b2131,osmF,P33362,918,0
b4376,osmY,P0AFH8,606,0.000117594
b1896,otsA,P31677,1425,5.74E-05
b1897,otsB,P31678,801,0
b2373,oxc,P0AFI0,1695,0
b3961,oxyR,P0ACQ4,918,0.000191606
b1388,paaA,P76077,930,0
b1389,paaB,P76078,288,0
b1390,paaC,P76079,747,0
b1391,paaD,P76080,498,0
b1392,paaE,P76081,1071,0
b1393,paaF,P76082,768,0
b1394,paaG,P77467,789,0
b1395,paaH,P76083,1428,0
b1396,paaI,P76084,423,0
b1397,paaJ,P0C7L2,1206,0
b1398,paaK,P76085,1314,0
b1399,paaX,P76086,951,3.04E-05
b1400,paaY,P77181,591,6.25E-06
b1387,paaZ,P77455,2046,0
b3360,pabA,P00903,564,0
b1812,pabB,P05041,1362,4.42E-05
b1096,pabC,P28305,810,0
b0622,pagP,P37001,561,0
b0741,pal,P0A912,522,0.002451123
b0134,panB,P31057,795,0.000512864
b0133,panC,P31663,852,0.000421103
b0131,panD,P0A790,381,0.000535902
b0425,panE,P0A9J4,912,2.78E-05
b3258,panF,P16256,1452,0
b3459,panZ,P37613,384,1.03E-05
b0286,paoA,P77165,690,0
b0285,paoB,P77324,957,0
b0284,paoC,P77489,2199,0
b0283,paoD,P77183,957,0
b3019,parC,P0AFI2,2259,0.00023059
b3030,parE,P20083,1893,0.000230163
b3073,patA,P42588,1380,0
b1444,patD,P77674,1425,0
b2584,patZ,P76594,2661,0
b2854,pbl,Q46790,375,0
b2519,pbpC,P76577,2313,0
b2134,pbpG,P0AFI5,933,5.87E-05
b3403,pck,P22259,1623,0.000515913
b2743,pcm,P0A7A5,627,2.60E-05
b0143,pcnB,P0ABF1,1398,0.000213794
b2395,pdeA,P23842,2190,0
b0457,pdeB,P77473,1551,0
b4061,pdeC,P32701,1587,0
b1815,pdeD,P76261,1599,0
b2503,pdeF,P77172,2244,0
b1168,pdeG,P75995,1524,0.000284725
b3525,pdeH,P37646,768,5.49E-05
b0833,pdeI,P75800,2349,0
b3529,pdeK,P37649,1950,3.47E-05
b0315,pdeL,P21514,1089,0.000135327
b2176,pdeN,P76446,1557,7.73E-06
b1285,pdeR,P77334,1986,0
b0113,pdhR,P0ACL9,765,7.73E-05
b0052,pdxA,P19624,990,3.98E-05
b2320,pdxB,P05459,1137,0.000221066
b1638,pdxH,P0AFI7,657,9.03E-05
b2564,pdxJ,P0A794,732,0.000195859
b2418,pdxK,P40191,852,0.000140996
b1636,pdxY,P77150,864,7.69E-05
b4260,pepA,P68767,1512,0.000480789
b2523,pepB,P37095,1284,0.000454897
b0237,pepD,P15288,1458,0.000620158
b4021,pepE,P0A7C6,690,1.89E-05
b0932,pepN,P04825,2613,0.000830617
b2908,pepP,P15034,1326,0.000248395
b3847,pepQ,P21165,1332,0.000400442
b1127,pepT,P29745,1227,4.95E-05
b0254,perR,Q57083,894,0
b3916,pfkA,P0A796,963,0.000565254
b1723,pfkB,P06999,930,8.39E-05
b0902,pflA,P0A9N4,741,9.99E-05
b0903,pflB,P09373,2283,0.002922252
b3952,pflC,P32675,879,0
b3951,pflD,P32674,2298,0
b1024,pgaA,P69434,2424,0
b1023,pgaB,P75906,2019,0
b1022,pgaC,P75905,1326,0
b1021,pgaD,P69432,414,0
b4025,pgi,P0A6T1,1650,0.001005982
b2926,pgk,P0A799,1164,0.003039023
b0767,pgl,P52697,996,0.000287383
b0688,pgm,P36938,1641,0.000502462
b0418,pgpA,P18200,519,0
b1278,pgpB,P0A924,765,0
b2560,pgpC,P0AD42,636,0
b1328,pgrR,P77333,900,0
b1912,pgsA,P0ABF8,549,5.97E-05
b2599,pheA,P0A9J8,1161,0.000295024
b2598,pheL,P0AD72,48,0
b1715,pheM,P0AD74,45,0
b0576,pheP,P24207,1377,5.88E-05
b1714,pheS,P08312,984,0.000511602
b1713,pheT,P07395,2388,0.001598603
b4106,phnC,P16677,789,0
b4105,phnD,P16682,1017,0
b4104,phnE_1,,621,0
b4103,phnE_2,,369,0
b4102,phnF,P16684,726,2.00E-07
b4101,phnG,P16685,453,0
b4100,phnH,P16686,585,0
b4099,phnI,P16687,1065,0
b4098,phnJ,P16688,846,0
b4097,phnK,P16678,759,0
b4096,phnL,P16679,681,0
b4095,phnM,P16689,1137,1.41E-05
b4094,phnN,P16690,558,0
b4093,phnO,P16691,435,0
b4092,phnP,P16692,759,0
b0383,phoA,P00634,1416,5.15E-05
b0399,phoB,P0AFJ5,690,2.57E-05
b0241,phoE,P02932,1056,1.89E-05
b1020,phoH,P0A9K1,1065,0
b1130,phoP,P23836,672,0.000237767
b1129,phoQ,P23837,1461,3.12E-05
b0400,phoR,P08400,1296,0
b3724,phoU,P0A9K7,726,0.000144506
b3379,php,P45548,879,0
b0708,phr,P00914,1419,0
b1158,pinE,P03014,555,0
b2648,pinH,P76611,144,0
b1545,pinQ,P77170,591,0
b1374,pinR,P0ADI0,591,0
b3493,pitA,P0AFJ7,1500,0.000144874
b2987,pitB,P43676,1500,0
b2014,plaP,P0AA47,1359,0.000732812
b3821,pldA,P0A921,870,7.10E-05
b3825,pldB,P07000,1023,0
b1178,pliG,P76002,402,0.000597223
b4041,plsB,P0A7A7,2424,0.000251555
b3018,plsC,P26647,738,4.11E-05
b1090,plsX,P27247,1071,2.64E-05
b4235,pmbA,P0AFK0,1353,0.000171826
b2259,pmrD,P37590,267,1.43E-05
b4703,pmrR,G3MTW7,90,0
b1768,pncA,P21369,642,7.88E-05
b0931,pncB,P18133,1203,0.000221125
b2700,pncC,P0A6G3,498,5.42E-05
b3164,pnp,P05055,2136,0.001873014
b1603,pntA,P07001,1533,0.003775743
b1602,pntB,P0AB67,1389,0.001410405
b0751,pnuC,P0AFK2,720,0
b3863,polA,P00582,2787,0.000359679
b0060,polB,P21189,2352,0
b1126,potA,P69874,1137,0.000160546
b1125,potB,P0AFK4,828,0
b1124,potC,P0AFK6,795,2.76E-05
b1123,potD,P0AFK9,1047,0.000911491
b0692,potE,P0AAF1,1320,0
b0854,potF,P31133,1113,0.000259039
b0855,potG,P31134,1134,8.28E-05
b0856,potH,P31135,954,2.45E-05
b0857,potI,P0AFL1,846,0
b0871,poxB,P07003,1719,7.34E-05
b4226,ppa,P0A7A9,531,0.001703924
b3956,ppc,P00864,2652,0.001978479
b2826,ppdA,P33554,471,0
b2825,ppdB,P08371,564,0
b2823,ppdC,P08372,324,0
b0108,ppdD,P36647,441,0
b1838,pphA,P55798,657,0
b2734,pphB,P55799,657,0
b3363,ppiA,P0AFL3,573,0.000192501
b0525,ppiB,P23869,495,0.001036606
b3775,ppiC,P0A9L5,282,0.000105856
b0441,ppiD,P0ADY1,1872,0.000442625
b2501,ppk,P0A7B1,2067,0.000112284
b2972,pppA,Q46836,810,0
b1702,ppsA,P23538,2379,0.001665687
b1703,ppsR,P0A8A4,834,8.29E-05
b1461,pptA,P31992,234,4.89E-05
b2502,ppx,P0AFL6,1542,0.000103121
b0950,pqiA,P0AFL9,1254,0
b0951,pqiB,P43671,1641,4.14E-05
b1494,pqqL,P31828,2796,3.50E-05
b1830,prc,P23865,2049,0.00037445
b2147,preA,P25889,1236,0
b2146,preT,P76440,1239,0
b1211,prfA,P0A7I0,1083,7.64E-05
b2891,prfB,P07012,1099,2.64E-05
b4375,prfC,P0A7I4,1590,0.000348817
b0236,prfH,P28369,501,0
b3935,priA,P17888,2199,2.63E-05
b4201,priB,P07013,315,6.47E-06
b0467,priC,P23862,528,1.85E-05
b3355,prkB,P0AEX5,870,4.73E-05
b3498,prlC,P27298,2043,0.000541486
b3129,prlF,P15373,336,2.59E-05
b3259,prmA,P0A8T1,882,0.000112185
b2330,prmB,P39199,933,0.00018506
b1212,prmC,P0ACC1,834,1.38E-05
b0243,proA,P07004,1254,0.000246001
b0242,proB,P0A7B5,1104,0.000159023
b0386,proC,P0A9L8,810,0.000268608
b4111,proP,P0C0L7,1503,0.000115913
b1831,proQ,P45577,699,0.000555605
b0194,proS,P16659,1719,0.000888818
b2677,proV,P14175,1203,0.000135447
b2678,proW,P14176,1065,3.85E-05
b2679,proX,P0AFM2,993,0.000193361
b0402,proY,P0AAE2,1374,0
b0331,prpB,P77541,891,0
b0333,prpC,P31660,1170,0
b0334,prpD,P77243,1452,0
b0335,prpE,P77495,1887,0.000186372
b0330,prpR,P77743,1587,0
b1207,prs,P0A717,948,0.001158753
b4160,psd,P0A8K1,969,0.000113527
b4030,psiE,P0A7C8,411,0
b0384,psiF,P0AFM4,321,0
b1304,pspA,P0AFM6,669,0.000132367
b1305,pspB,P0AFM9,225,1.69E-05
b1306,pspC,P0AFN2,360,1.10E-05
b1307,pspD,P0AFV8,222,0
b1308,pspE,P23857,315,6.42E-05
b1303,pspF,P37344,978,1.91E-05
b4050,pspG,P32696,243,0
b2585,pssA,P23830,1356,0.000206709
b3726,pstA,P07654,891,0
b3725,pstB,P0AAH0,774,0.00014786
b3727,pstC,P0AGH8,960,0
b3728,pstS,P0AG82,1041,0.000295363
b2165,psuG,P33025,939,0
b2166,psuK,P30235,942,0
b2164,psuT,P33024,1251,0
b2297,pta,P0A9M8,2145,0.000845768
b1204,pth,P0A7D1,585,7.01E-05
b2821,ptrA,P05458,2889,0.00011299
b1845,ptrB,P24555,2061,0
b3947,ptsA,P32670,2502,0
b1101,ptsG,P69786,1434,0.001101162
b2415,ptsH,P0AA04,258,0.001230282
b2416,ptsI,P08839,1728,0.002770106
b3204,ptsN,P69829,492,0.00011241
b2829,ptsP,P37177,2247,8.67E-05
b4177,purA,P0A7D4,1299,0.001606092
